2019-02-16 15:43:44.016 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2359 ms
2019-02-16 15:43:44.751 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-02-16 15:43:44.834 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-02-16 15:43:44.993 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2cae5fa7, org.springframework.security.web.context.SecurityContextPersistenceFilter@b01cb8d, org.springframework.security.web.header.HeaderWriterFilter@dc59ec2, org.springframework.security.web.authentication.logout.LogoutFilter@57c69937, cn.cumtmaker.maker.filter.ValidateCodeFilter@34aa8b61, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1ad1c363, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@71bb8b34, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6d7b001b, cn.cumtmaker.maker.filter.JWTAuthenticationFilter@532dacf5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7a814310, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6b16de91, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@da09250, org.springframework.security.web.session.SessionManagementFilter@bd93bc3, org.springframework.security.web.access.ExceptionTranslationFilter@b56ec6c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@ee96866]
2019-02-16 15:43:45.042 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-02-16 15:43:45.055 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-02-16 15:43:45.067 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-02-16 15:43:45.295 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: resetPasswordUsingPOST_1
2019-02-16 15:43:45.297 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setMakerSignUpInfoUsingPOST_1
2019-02-16 15:43:45.299 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setUserSignUpInfoUsingPOST_1
2019-02-16 15:43:45.301 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: signUpUsingPOST_1
2019-02-16 15:43:45.321 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2019-02-16 15:43:45.329 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-02-16 15:43:45.341 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2019-02-16 15:43:45.344 [main] INFO  cn.cumtmaker.maker.MakerApplication - Started MakerApplication in 4.426 seconds (JVM running for 5.615)
2019-02-16 15:43:52.498 [http-nio-8090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
