2019-02-27 01:04:16.057 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2019-02-27 01:04:16.060 [main] INFO  cn.cumtmaker.maker.MakerApplication - Started MakerApplication in 4.914 seconds (JVM running for 5.837)
2019-02-27 01:04:20.851 [http-nio-8090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-02-27 01:04:20.852 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-02-27 01:04:20.860 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2019-02-27 01:04:20.940 [http-nio-8090-exec-3] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:1】
2019-02-27 01:04:20.940 [http-nio-8090-exec-5] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:2】
2019-02-27 01:04:20.941 [http-nio-8090-exec-8] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:3】
2019-02-27 01:04:20.941 [http-nio-8090-exec-4] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:4】
2019-02-27 01:04:20.941 [http-nio-8090-exec-6] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:5】
2019-02-27 01:04:20.941 [http-nio-8090-exec-2] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:6】
2019-02-27 01:04:20.953 [http-nio-8090-exec-9] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:7】
2019-02-27 01:04:20.954 [http-nio-8090-exec-1] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:8】
2019-02-27 01:04:20.954 [http-nio-8090-exec-4] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:9】
2019-02-27 01:04:20.955 [http-nio-8090-exec-10] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:10】
2019-02-27 01:04:20.955 [http-nio-8090-exec-6] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:11】
